"fold","primed_auc","cdgl_auc","classo_auc","primed_nsel","cdgl_nsel","classo_nsel","primed_lambda","primed_lambda_idx"
1,0.84375,0.856924019607843,0.838541666666667,72,30,34,0.005393924163425,60
2,0.863678804855275,0.867102396514161,0.855586679116091,64,25,23,0.00664739881972372,57
3,0.901649548708372,0.900404606286959,0.880796763149704,58,32,19,0.00868926059759956,53
4,0.899782135076253,0.894802365390601,0.920323685029567,62,26,24,0.00698990717441724,56
5,0.93775287892935,0.936196700902583,0.929660753190165,68,29,20,0.0060603707031931,58
6,0.935262994086523,0.941487706193589,0.917833800186741,59,33,21,0.00745110050939034,55
7,0.924680983504513,0.926237161531279,0.919701213818861,67,31,23,0.00649255852702391,57
8,0.878095238095238,0.882539682539683,0.890793650793651,58,33,26,0.00799978650130542,54
9,0.946031746031746,0.955555555555555,0.946349206349206,74,34,20,0.00530931223885326,60
10,0.873015873015873,0.886031746031746,0.881269841269841,74,34,22,0.0057638338250422,59
