"idx","feature","primed","cdgl","classo"
1,"original_shape_Elongation",10,10,10
2,"original_shape_Flatness",9,3,3
3,"original_shape_LeastAxisLength",10,2,0
4,"original_shape_MajorAxisLength",9,10,1
5,"original_shape_Maximum2DDiameterColumn",4,5,0
6,"original_shape_Maximum2DDiameterRow",3,10,1
7,"original_shape_Maximum2DDiameterSlice",10,0,10
8,"original_shape_Maximum3DDiameter",10,0,0
9,"original_shape_MeshVolume",3,0,0
10,"original_shape_MinorAxisLength",10,0,0
11,"original_shape_Sphericity",10,0,10
12,"original_shape_SurfaceArea",10,10,0
13,"original_shape_SurfaceVolumeRatio",10,10,0
14,"original_shape_VoxelVolume",3,10,0
15,"original_firstorder_10Percentile",10,0,4
16,"original_firstorder_90Percentile",10,10,9
17,"original_firstorder_Energy",0,9,2
18,"original_firstorder_Entropy",2,7,0
19,"original_firstorder_InterquartileRange",8,0,0
20,"original_firstorder_Kurtosis",3,0,5
21,"original_firstorder_Maximum",10,0,0
22,"original_firstorder_MeanAbsoluteDeviation",6,0,0
23,"original_firstorder_Mean",10,4,6
24,"original_firstorder_Median",10,10,0
25,"original_firstorder_Minimum",10,0,10
26,"original_firstorder_Range",10,3,1
27,"original_firstorder_RobustMeanAbsoluteDeviation",10,0,1
28,"original_firstorder_RootMeanSquared",10,0,10
29,"original_firstorder_Skewness",10,10,0
30,"original_firstorder_TotalEnergy",0,0,1
31,"original_firstorder_Uniformity",1,0,0
32,"original_firstorder_Variance",10,0,0
33,"original_glcm_Autocorrelation",2,0,9
34,"original_glcm_ClusterProminence",10,0,6
35,"original_glcm_ClusterShade",1,0,1
36,"original_glcm_ClusterTendency",10,1,9
37,"original_glcm_Contrast",3,0,0
38,"original_glcm_Correlation",10,9,9
39,"original_glcm_DifferenceAverage",7,0,0
40,"original_glcm_DifferenceEntropy",7,0,5
41,"original_glcm_DifferenceVariance",0,0,1
42,"original_glcm_Id",3,0,0
43,"original_glcm_Idm",6,10,0
44,"original_glcm_Idmn",7,0,0
45,"original_glcm_Idn",10,0,1
46,"original_glcm_Imc1",10,0,1
47,"original_glcm_Imc2",10,2,10
48,"original_glcm_InverseVariance",10,2,0
49,"original_glcm_JointAverage",0,1,1
50,"original_glcm_JointEnergy",0,3,0
51,"original_glcm_JointEntropy",10,0,7
52,"original_glcm_MCC",10,10,9
53,"original_glcm_MaximumProbability",3,0,0
54,"original_glcm_SumAverage",0,4,1
55,"original_glcm_SumEntropy",0,6,0
56,"original_glcm_SumSquares",10,7,0
57,"original_gldm_DependenceEntropy",10,2,8
58,"original_gldm_DependenceNonUniformity",0,0,0
59,"original_gldm_DependenceNonUniformityNormalized",1,2,0
60,"original_gldm_DependenceVariance",10,3,2
61,"original_gldm_GrayLevelNonUniformity",0,0,0
62,"original_gldm_GrayLevelVariance",10,10,0
63,"original_gldm_HighGrayLevelEmphasis",0,0,0
64,"original_gldm_LargeDependenceEmphasis",7,0,0
65,"original_gldm_LargeDependenceHighGrayLevelEmphasis",1,7,1
66,"original_gldm_LargeDependenceLowGrayLevelEmphasis",10,8,9
67,"original_gldm_LowGrayLevelEmphasis",10,3,6
68,"original_gldm_SmallDependenceEmphasis",0,10,1
69,"original_gldm_SmallDependenceHighGrayLevelEmphasis",9,0,1
70,"original_gldm_SmallDependenceLowGrayLevelEmphasis",3,0,0
71,"original_glrlm_GrayLevelNonUniformity",1,1,0
72,"original_glrlm_GrayLevelNonUniformityNormalized",5,0,6
73,"original_glrlm_GrayLevelVariance",10,9,0
74,"original_glrlm_HighGrayLevelRunEmphasis",0,2,0
75,"original_glrlm_LongRunEmphasis",2,0,1
76,"original_glrlm_LongRunHighGrayLevelEmphasis",1,0,0
77,"original_glrlm_LongRunLowGrayLevelEmphasis",10,0,1
78,"original_glrlm_LowGrayLevelRunEmphasis",10,9,0
79,"original_glrlm_RunEntropy",8,10,0
80,"original_glrlm_RunLengthNonUniformity",3,0,0
81,"original_glrlm_RunLengthNonUniformityNormalized",9,0,0
82,"original_glrlm_RunPercentage",10,10,0
83,"original_glrlm_RunVariance",2,0,1
84,"original_glrlm_ShortRunEmphasis",9,0,0
85,"original_glrlm_ShortRunHighGrayLevelEmphasis",0,0,0
86,"original_glrlm_ShortRunLowGrayLevelEmphasis",10,0,0
87,"original_glszm_GrayLevelNonUniformity",10,8,0
88,"original_glszm_GrayLevelNonUniformityNormalized",9,8,0
89,"original_glszm_GrayLevelVariance",1,0,0
90,"original_glszm_HighGrayLevelZoneEmphasis",0,0,0
91,"original_glszm_LargeAreaEmphasis",1,0,2
92,"original_glszm_LargeAreaHighGrayLevelEmphasis",0,0,1
93,"original_glszm_LargeAreaLowGrayLevelEmphasis",9,0,10
94,"original_glszm_LowGrayLevelZoneEmphasis",10,0,1
95,"original_glszm_SizeZoneNonUniformity",8,1,0
96,"original_glszm_SizeZoneNonUniformityNormalized",10,0,3
97,"original_glszm_SmallAreaEmphasis",10,0,7
98,"original_glszm_SmallAreaHighGrayLevelEmphasis",1,0,0
99,"original_glszm_SmallAreaLowGrayLevelEmphasis",7,0,1
100,"original_glszm_ZoneEntropy",10,8,0
101,"original_glszm_ZonePercentage",0,0,0
102,"original_glszm_ZoneVariance",1,10,2
103,"original_ngtdm_Busyness",8,0,2
104,"original_ngtdm_Coarseness",10,0,8
105,"original_ngtdm_Complexity",0,8,0
106,"original_ngtdm_Contrast",0,0,1
107,"original_ngtdm_Strength",10,0,3
