"var_idx","mp_freq","cd_freq","cl_freq"
1,0.88,0.82,0.88
2,0.9,0.76,0.8
3,0.8,0.7,0.74
4,0.92,0.8,0.88
5,0.92,0.86,0.84
6,0.88,0.82,0.88
7,0.8,0.7,0.76
8,0.16,0.2,0.26
9,0.16,0.16,0.22
10,0.34,0.26,0.34
11,0.16,0.24,0.16
12,0.24,0.16,0.2
13,0.24,0.14,0.28
14,0.18,0.14,0.22
15,0.2,0.22,0.18
16,0.14,0.2,0.16
17,0.16,0.14,0.22
18,0.14,0.12,0.16
19,0.22,0.2,0.32
20,0.12,0.22,0.18
21,0.2,0.14,0.1
22,0.16,0.1,0.18
23,0.26,0.24,0.24
24,0.2,0.1,0.26
25,0.12,0.16,0.18
26,0.3,0.16,0.32
27,0.2,0.18,0.18
28,0.2,0.2,0.28
29,0.24,0.16,0.26
30,0.24,0.18,0.36
31,0.14,0.1,0.26
32,0.16,0.14,0.1
33,0.18,0.2,0.24
34,0.18,0.18,0.22
35,0.16,0.12,0.14
36,0.24,0.18,0.24
37,0.28,0.2,0.24
38,0.2,0.12,0.22
39,0.26,0.16,0.32
40,0.14,0.12,0.14
41,0.2,0.14,0.28
42,0.16,0.14,0.22
43,0.18,0.18,0.26
44,0.2,0.14,0.24
45,0.22,0.26,0.26
46,0.14,0.16,0.12
47,0.16,0.16,0.18
48,0.2,0.12,0.2
49,0.2,0.1,0.18
50,0.22,0.16,0.24
