"var_idx","mp_freq","cd_freq","cl_freq","job_id"
1,0.92,0.88,0.96,1
2,0.9,0.88,0.9,1
3,0.9,0.9,0.8,1
4,0.94,0.88,0.94,1
5,0.86,0.86,0.92,1
6,0.96,0.98,0.96,1
7,0.88,0.88,0.88,1
8,0.44,0.38,0.46,1
9,0.42,0.48,0.44,1
10,0.4,0.44,0.48,1
11,0.26,0.26,0.4,1
12,0.34,0.4,0.4,1
13,0.36,0.4,0.36,1
14,0.36,0.4,0.34,1
15,0.38,0.36,0.5,1
16,0.44,0.38,0.48,1
17,0.5,0.46,0.6,1
18,0.34,0.34,0.36,1
19,0.2,0.24,0.3,1
20,0.26,0.28,0.4,1
1,0.92,0.9,0.96,2
2,0.9,0.84,0.92,2
3,0.9,0.9,0.82,2
4,0.92,0.88,0.94,2
5,0.88,0.86,0.92,2
6,0.96,0.98,0.96,2
7,0.88,0.88,0.88,2
8,0.46,0.32,0.42,2
9,0.44,0.48,0.46,2
10,0.44,0.36,0.44,2
11,0.28,0.26,0.4,2
12,0.32,0.42,0.4,2
13,0.36,0.42,0.34,2
14,0.38,0.4,0.34,2
15,0.36,0.36,0.52,2
16,0.42,0.36,0.46,2
17,0.5,0.44,0.64,2
18,0.34,0.34,0.36,2
19,0.2,0.26,0.28,2
20,0.28,0.3,0.42,2
1,0.94,0.86,0.92,3
2,0.96,0.92,0.92,3
3,0.9,0.9,0.9,3
4,0.94,0.9,0.9,3
5,0.9,0.84,0.88,3
6,0.92,0.88,0.92,3
7,0.92,0.92,0.96,3
8,0.36,0.42,0.38,3
9,0.3,0.4,0.42,3
10,0.42,0.4,0.5,3
11,0.26,0.32,0.3,3
12,0.36,0.44,0.32,3
13,0.28,0.32,0.36,3
14,0.44,0.42,0.42,3
15,0.44,0.4,0.4,3
16,0.32,0.42,0.42,3
17,0.3,0.28,0.4,3
18,0.22,0.22,0.3,3
19,0.2,0.26,0.34,3
20,0.36,0.32,0.4,3
1,0.94,0.84,0.92,4
2,0.96,0.9,0.92,4
3,0.9,0.88,0.9,4
4,0.94,0.88,0.9,4
5,0.9,0.84,0.88,4
6,0.9,0.88,0.92,4
7,0.92,0.9,0.96,4
8,0.46,0.36,0.38,4
9,0.44,0.32,0.4,4
10,0.5,0.4,0.5,4
11,0.26,0.26,0.32,4
12,0.34,0.4,0.32,4
13,0.3,0.32,0.36,4
14,0.4,0.42,0.4,4
15,0.42,0.42,0.42,4
16,0.32,0.44,0.42,4
17,0.3,0.22,0.4,4
18,0.18,0.26,0.3,4
19,0.2,0.28,0.38,4
20,0.38,0.3,0.4,4
1,1,0.98,1,5
2,1,0.98,1,5
3,0.98,0.96,0.98,5
4,0.98,0.98,0.94,5
5,0.98,0.92,0.96,5
6,0.98,0.98,1,5
7,1,1,0.94,5
8,0.44,0.46,0.56,5
9,0.52,0.5,0.62,5
10,0.42,0.42,0.4,5
11,0.38,0.4,0.38,5
12,0.38,0.4,0.44,5
13,0.42,0.56,0.42,5
14,0.38,0.48,0.4,5
15,0.44,0.44,0.44,5
16,0.5,0.48,0.52,5
17,0.46,0.52,0.56,5
18,0.38,0.44,0.42,5
19,0.32,0.36,0.44,5
20,0.34,0.34,0.36,5
1,1,0.98,1,6
2,1,0.98,1,6
3,0.98,0.96,0.96,6
4,0.98,0.98,0.94,6
5,0.94,0.92,0.98,6
6,0.98,0.98,1,6
7,1,1,0.94,6
8,0.54,0.48,0.52,6
9,0.64,0.54,0.58,6
10,0.5,0.42,0.4,6
11,0.38,0.42,0.34,6
12,0.38,0.42,0.42,6
13,0.36,0.54,0.48,6
14,0.38,0.44,0.38,6
15,0.44,0.42,0.44,6
