"sim","dgp","scenario","tau","snr","K","method","TPR_mean","TPR_sd","PPV_mean","PPV_sd","F1_mean","F1_sd","AUC_mean","AUC_sd","mp_nsel_mean","mp_nsel_sd","cd_nsel_mean","cd_nsel_sd","cl_nsel_mean","cl_nsel_sd","mp_lambda_mean","mp_lambda_sd"
"tau","DGP1","S1",0.3,0.5,20,"PRIMED",0.909,0.175,0.59,0.151,0.703,0.13,0.695,0.04,11.06,3.24137788791201,11.08,2.94049836120425,11.88,3.22389041187121,0.03828716,0.0135118958025127
"tau","DGP1","S1",0.3,0.5,20,"CD GL",0.894,0.128,0.598,0.149,0.7,0.09,0.684,0.029,11.06,3.24137788791201,11.08,2.94049836120425,11.88,3.22389041187121,0.03828716,0.0135118958025127
"tau","DGP1","S1",0.3,0.5,20,"C LASSO",0.909,0.115,0.571,0.147,0.685,0.099,0.688,0.025,11.06,3.24137788791201,11.08,2.94049836120425,11.88,3.22389041187121,0.03828716,0.0135118958025127
"tau","DGP1","S2",0.3,0.5,20,"PRIMED",0.909,0.173,0.584,0.146,0.699,0.129,0.695,0.04,11.14,3.19444671201734,10.96,3.10995767410006,11.88,3.06154556139375,0.03861928,0.0135156883476883
"tau","DGP1","S2",0.3,0.5,20,"CD GL",0.891,0.128,0.608,0.16,0.705,0.098,0.683,0.029,11.14,3.19444671201734,10.96,3.10995767410006,11.88,3.06154556139375,0.03861928,0.0135156883476883
"tau","DGP1","S2",0.3,0.5,20,"C LASSO",0.914,0.112,0.571,0.141,0.688,0.096,0.688,0.024,11.14,3.19444671201734,10.96,3.10995767410006,11.88,3.06154556139375,0.03861928,0.0135156883476883
"tau","DGP2","S1",0.3,0.5,20,"PRIMED",0.926,0.12,0.635,0.138,0.739,0.095,0.699,0.026,10.74,2.82705587103601,10.84,3.51881241562072,11.36,3.28111479313271,0.03950038,0.0103041032383478
"tau","DGP2","S1",0.3,0.5,20,"CD GL",0.889,0.164,0.623,0.171,0.704,0.111,0.679,0.028,10.74,2.82705587103601,10.84,3.51881241562072,11.36,3.28111479313271,0.03950038,0.0103041032383478
"tau","DGP2","S1",0.3,0.5,20,"C LASSO",0.914,0.158,0.579,0.151,0.699,0.136,0.692,0.036,10.74,2.82705587103601,10.84,3.51881241562072,11.36,3.28111479313271,0.03950038,0.0103041032383478
"tau","DGP2","S2",0.3,0.5,20,"PRIMED",0.923,0.123,0.617,0.131,0.727,0.098,0.698,0.026,10.96,2.77716637262237,10.52,3.58705154346996,11.4,3.23248814256707,0.04043514,0.0108305571662321
"tau","DGP2","S2",0.3,0.5,20,"CD GL",0.874,0.177,0.635,0.18,0.704,0.114,0.677,0.029,10.96,2.77716637262237,10.52,3.58705154346996,11.4,3.23248814256707,0.04043514,0.0108305571662321
"tau","DGP2","S2",0.3,0.5,20,"C LASSO",0.914,0.158,0.576,0.151,0.697,0.136,0.693,0.036,10.96,2.77716637262237,10.52,3.58705154346996,11.4,3.23248814256707,0.04043514,0.0108305571662321
"tau","DGP1","S1",0.3,1,20,"PRIMED",0.989,0.049,0.592,0.14,0.73,0.101,0.764,0.024,12.3,2.68973862625182,12.6,2.68784110317525,12.78,2.4014451431399,0.03055922,0.00854766935483538
"tau","DGP1","S1",0.3,1,20,"CD GL",0.971,0.091,0.56,0.111,0.702,0.093,0.75,0.029,12.3,2.68973862625182,12.6,2.68784110317525,12.78,2.4014451431399,0.03055922,0.00854766935483538
"tau","DGP1","S1",0.3,1,20,"C LASSO",0.974,0.055,0.553,0.11,0.699,0.087,0.742,0.023,12.3,2.68973862625182,12.6,2.68784110317525,12.78,2.4014451431399,0.03055922,0.00854766935483538
"tau","DGP1","S2",0.3,1,20,"PRIMED",0.983,0.069,0.58,0.146,0.717,0.1,0.763,0.025,12.52,2.73480962289323,12.62,2.6641229364292,12.62,2.27578199163922,0.03102418,0.00885415901741742
"tau","DGP1","S2",0.3,1,20,"CD GL",0.971,0.091,0.559,0.11,0.701,0.09,0.75,0.028,12.52,2.73480962289323,12.62,2.6641229364292,12.62,2.27578199163922,0.03102418,0.00885415901741742
"tau","DGP1","S2",0.3,1,20,"C LASSO",0.974,0.063,0.558,0.11,0.703,0.087,0.742,0.023,12.52,2.73480962289323,12.62,2.6641229364292,12.62,2.27578199163922,0.03102418,0.00885415901741742
"tau","DGP2","S1",0.3,1,20,"PRIMED",0.986,0.043,0.624,0.121,0.758,0.091,0.757,0.02,11.46,2.33176818254793,12.68,2.39421070458704,12.46,2.76427648577271,0.0367345,0.00816036377803073
"tau","DGP2","S1",0.3,1,20,"CD GL",0.977,0.06,0.56,0.12,0.705,0.094,0.74,0.025,11.46,2.33176818254793,12.68,2.39421070458704,12.46,2.76427648577271,0.0367345,0.00816036377803073
"tau","DGP2","S1",0.3,1,20,"C LASSO",0.966,0.074,0.566,0.118,0.705,0.088,0.734,0.022,11.46,2.33176818254793,12.68,2.39421070458704,12.46,2.76427648577271,0.0367345,0.00816036377803073
"tau","DGP2","S2",0.3,1,20,"PRIMED",0.977,0.073,0.608,0.126,0.74,0.093,0.754,0.022,11.74,2.58575374871228,12.68,2.36850077440717,12.4,2.59512887494071,0.03876494,0.0091575709514598
"tau","DGP2","S2",0.3,1,20,"CD GL",0.977,0.053,0.558,0.114,0.704,0.088,0.739,0.024,11.74,2.58575374871228,12.68,2.36850077440717,12.4,2.59512887494071,0.03876494,0.0091575709514598
"tau","DGP2","S2",0.3,1,20,"C LASSO",0.966,0.074,0.565,0.104,0.705,0.079,0.735,0.021,11.74,2.58575374871228,12.68,2.36850077440717,12.4,2.59512887494071,0.03876494,0.0091575709514598
"tau","DGP1","S1",0.6,0.5,20,"PRIMED",0.874,0.146,0.624,0.168,0.704,0.103,0.682,0.029,10.62,3.54498783855604,10.7,3.0321407538273,9,4.60700442759917,0.04891186,0.0137364168990643
"tau","DGP1","S1",0.6,0.5,20,"CD GL",0.863,0.141,0.596,0.13,0.688,0.087,0.675,0.029,10.62,3.54498783855604,10.7,3.0321407538273,9,4.60700442759917,0.04891186,0.0137364168990643
"tau","DGP1","S1",0.6,0.5,20,"C LASSO",0.703,0.298,0.545,0.236,0.585,0.22,0.626,0.045,10.62,3.54498783855604,10.7,3.0321407538273,9,4.60700442759917,0.04891186,0.0137364168990643
"tau","DGP1","S2",0.6,0.5,20,"PRIMED",0.86,0.19,0.592,0.172,0.679,0.136,0.678,0.038,10.72,3.80676090284491,11.06,3.11290926331505,8.8,4.54456392016768,0.05047176,0.0184006755716263
"tau","DGP1","S2",0.6,0.5,20,"CD GL",0.874,0.128,0.591,0.153,0.686,0.088,0.675,0.029,10.72,3.80676090284491,11.06,3.11290926331505,8.8,4.54456392016768,0.05047176,0.0184006755716263
"tau","DGP1","S2",0.6,0.5,20,"C LASSO",0.694,0.311,0.537,0.248,0.579,0.234,0.623,0.048,10.72,3.80676090284491,11.06,3.11290926331505,8.8,4.54456392016768,0.05047176,0.0184006755716263
"tau","DGP2","S1",0.6,0.5,20,"PRIMED",0.84,0.199,0.688,0.169,0.722,0.127,0.666,0.032,9.24,3.36585495704089,9.66,4.05880247745815,9.96,4.26164670673922,0.0593164,0.0172259380207255
"tau","DGP2","S1",0.6,0.5,20,"CD GL",0.789,0.235,0.629,0.171,0.655,0.124,0.653,0.028,9.24,3.36585495704089,9.66,4.05880247745815,9.96,4.26164670673922,0.0593164,0.0172259380207255
"tau","DGP2","S1",0.6,0.5,20,"C LASSO",0.814,0.274,0.577,0.208,0.649,0.202,0.663,0.048,9.24,3.36585495704089,9.66,4.05880247745815,9.96,4.26164670673922,0.0593164,0.0172259380207255
"tau","DGP2","S2",0.6,0.5,20,"PRIMED",0.82,0.232,0.674,0.18,0.692,0.136,0.663,0.033,9.38,3.71917260932579,9.74,4.41615771679317,10.18,3.9211097970876,0.0601295,0.0204199725041791
"tau","DGP2","S2",0.6,0.5,20,"CD GL",0.78,0.27,0.591,0.202,0.632,0.172,0.647,0.042,9.38,3.71917260932579,9.74,4.41615771679317,10.18,3.9211097970876,0.0601295,0.0204199725041791
"tau","DGP2","S2",0.6,0.5,20,"C LASSO",0.84,0.246,0.592,0.189,0.669,0.179,0.667,0.042,9.38,3.71917260932579,9.74,4.41615771679317,10.18,3.9211097970876,0.0601295,0.0204199725041791
"tau","DGP1","S1",0.6,1,20,"PRIMED",0.969,0.072,0.581,0.13,0.714,0.086,0.753,0.026,12.3,2.97780908366798,13.22,2.69004210573222,10.5,3.92402334137725,0.04036616,0.0109923511502595
"tau","DGP1","S1",0.6,1,20,"CD GL",0.98,0.058,0.539,0.109,0.689,0.087,0.747,0.024,12.3,2.97780908366798,13.22,2.69004210573222,10.5,3.92402334137725,0.04036616,0.0109923511502595
"tau","DGP1","S1",0.6,1,20,"C LASSO",0.857,0.247,0.58,0.181,0.671,0.174,0.674,0.048,12.3,2.97780908366798,13.22,2.69004210573222,10.5,3.92402334137725,0.04036616,0.0109923511502595
"tau","DGP1","S2",0.6,1,20,"PRIMED",0.969,0.083,0.577,0.126,0.712,0.091,0.752,0.025,12.34,2.94583760307208,13.42,2.65029840445431,10.42,3.55763048866483,0.04028374,0.0103371223758188
"tau","DGP1","S2",0.6,1,20,"CD GL",0.98,0.058,0.53,0.106,0.681,0.085,0.747,0.023,12.34,2.94583760307208,13.42,2.65029840445431,10.42,3.55763048866483,0.04028374,0.0103371223758188
"tau","DGP1","S2",0.6,1,20,"C LASSO",0.866,0.232,0.582,0.169,0.682,0.168,0.675,0.047,12.34,2.94583760307208,13.42,2.65029840445431,10.42,3.55763048866483,0.04028374,0.0103371223758188
"tau","DGP2","S1",0.6,1,20,"PRIMED",0.954,0.079,0.652,0.146,0.763,0.098,0.724,0.02,10.8,2.7404751561787,10.98,3.62806520653325,11.18,3.61792589132255,0.05177386,0.0126954755125676
"tau","DGP2","S1",0.6,1,20,"CD GL",0.883,0.213,0.566,0.171,0.678,0.165,0.7,0.048,10.8,2.7404751561787,10.98,3.62806520653325,11.18,3.61792589132255,0.05177386,0.0126954755125676
"tau","DGP2","S1",0.6,1,20,"C LASSO",0.877,0.202,0.575,0.17,0.67,0.146,0.696,0.04,10.8,2.7404751561787,10.98,3.62806520653325,11.18,3.61792589132255,0.05177386,0.0126954755125676
"tau","DGP2","S2",0.6,1,20,"PRIMED",0.943,0.1,0.645,0.135,0.753,0.091,0.719,0.024,10.74,2.73905987148727,10.62,4.1398511261806,10.98,3.6392979811934,0.05571964,0.0138976131980441
"tau","DGP2","S2",0.6,1,20,"CD GL",0.854,0.262,0.556,0.191,0.659,0.198,0.695,0.056,10.74,2.73905987148727,10.62,4.1398511261806,10.98,3.6392979811934,0.05571964,0.0138976131980441
"tau","DGP2","S2",0.6,1,20,"C LASSO",0.871,0.205,0.58,0.162,0.672,0.143,0.696,0.04,10.74,2.73905987148727,10.62,4.1398511261806,10.98,3.6392979811934,0.05571964,0.0138976131980441
"tau","DGP1","S1",0.9,0.5,20,"PRIMED",0.806,0.272,0.564,0.219,0.631,0.194,0.653,0.052,10.3,4.55465673340853,10.62,3.96355849185645,3.9,4.48694250701126,0.08102348,0.0403959510853678
"tau","DGP1","S1",0.9,0.5,20,"CD GL",0.851,0.222,0.575,0.192,0.67,0.176,0.653,0.045,10.3,4.55465673340853,10.62,3.96355849185645,3.9,4.48694250701126,0.08102348,0.0403959510853678
"tau","DGP1","S1",0.9,0.5,20,"C LASSO",0.286,0.305,0.34,0.332,0.285,0.273,0.536,0.036,10.3,4.55465673340853,10.62,3.96355849185645,3.9,4.48694250701126,0.08102348,0.0403959510853678
"tau","DGP1","S2",0.9,0.5,20,"PRIMED",0.8,0.274,0.562,0.22,0.628,0.195,0.652,0.052,10.26,4.56164130862691,10.66,3.99800970892431,3.9,4.43202630213959,0.08146356,0.0403595454542273
"tau","DGP1","S2",0.9,0.5,20,"CD GL",0.849,0.219,0.573,0.194,0.668,0.176,0.653,0.045,10.26,4.56164130862691,10.66,3.99800970892431,3.9,4.43202630213959,0.08146356,0.0403595454542273
"tau","DGP1","S2",0.9,0.5,20,"C LASSO",0.286,0.304,0.353,0.333,0.286,0.268,0.537,0.036,10.26,4.56164130862691,10.66,3.99800970892431,3.9,4.43202630213959,0.08146356,0.0403595454542273
"tau","DGP2","S1",0.9,0.5,20,"PRIMED",0.669,0.271,0.68,0.195,0.62,0.173,0.614,0.037,7.5,4.01654740557416,7.24,4.76192380948571,7.36,4.43437407864828,0.10029556,0.0304235137736104
"tau","DGP2","S1",0.9,0.5,20,"CD GL",0.586,0.318,0.581,0.27,0.527,0.219,0.605,0.045,7.5,4.01654740557416,7.24,4.76192380948571,7.36,4.43437407864828,0.10029556,0.0304235137736104
"tau","DGP2","S1",0.9,0.5,20,"C LASSO",0.626,0.352,0.547,0.269,0.546,0.267,0.611,0.052,7.5,4.01654740557416,7.24,4.76192380948571,7.36,4.43437407864828,0.10029556,0.0304235137736104
"tau","DGP2","S2",0.9,0.5,20,"PRIMED",0.649,0.289,0.65,0.225,0.588,0.191,0.613,0.038,7.6,4.27617987059879,7.06,4.55089136817151,7.2,4.43087497693452,0.10362558,0.0369050307461059
"tau","DGP2","S2",0.9,0.5,20,"CD GL",0.6,0.316,0.601,0.271,0.55,0.225,0.604,0.044,7.6,4.27617987059879,7.06,4.55089136817151,7.2,4.43087497693452,0.10362558,0.0369050307461059
"tau","DGP2","S2",0.9,0.5,20,"C LASSO",0.623,0.338,0.582,0.275,0.558,0.254,0.613,0.049,7.6,4.27617987059879,7.06,4.55089136817151,7.2,4.43087497693452,0.10362558,0.0369050307461059
"tau","DGP1","S1",0.9,1,20,"PRIMED",0.966,0.079,0.578,0.156,0.711,0.116,0.735,0.022,12.42,2.96296872637384,12.94,2.81693131631148,6.04,4.92788815139437,0.0612313,0.0157373573958947
"tau","DGP1","S1",0.9,1,20,"CD GL",0.963,0.09,0.544,0.119,0.685,0.092,0.727,0.023,12.42,2.96296872637384,12.94,2.81693131631148,6.04,4.92788815139437,0.0612313,0.0157373573958947
"tau","DGP1","S1",0.9,1,20,"C LASSO",0.451,0.319,0.476,0.314,0.42,0.256,0.57,0.043,12.42,2.96296872637384,12.94,2.81693131631148,6.04,4.92788815139437,0.0612313,0.0157373573958947
"tau","DGP1","S2",0.9,1,20,"PRIMED",0.963,0.081,0.565,0.153,0.7,0.11,0.733,0.023,12.64,2.93299317755631,13.06,2.79511235216484,6.1,5.11600130842,0.06108536,0.0171077769876624
"tau","DGP1","S2",0.9,1,20,"CD GL",0.966,0.089,0.54,0.117,0.683,0.091,0.726,0.023,12.64,2.93299317755631,13.06,2.79511235216484,6.1,5.11600130842,0.06108536,0.0171077769876624
"tau","DGP1","S2",0.9,1,20,"C LASSO",0.443,0.324,0.452,0.318,0.405,0.259,0.569,0.044,12.64,2.93299317755631,13.06,2.79511235216484,6.1,5.11600130842,0.06108536,0.0171077769876624
"tau","DGP2","S1",0.9,1,20,"PRIMED",0.814,0.209,0.674,0.192,0.694,0.123,0.669,0.028,9.48,4.05694164490988,8.12,4.71921819882947,8.7,4.27259897963948,0.08992356,0.032818884592321
